,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Sao Filipe,100,CV,1563937583,86,14.9,-24.5,73.93,18.01
1,Punta Arenas,40,CL,1563937584,92,-53.16,-70.91,32.0,8.05
2,Wewak,81,PG,1563937586,72,-3.55,143.63,83.11,8.34
3,Balatonszarszo,0,HU,1563937587,93,46.83,17.82,64.4,2.71
4,Merefa,100,UA,1563937588,93,49.82,36.06,62.6,4.47
5,Nemuro,75,JP,1563937590,73,43.32,145.57,71.6,17.22
6,Inuvik,40,CA,1563937591,53,68.36,-133.71,71.6,17.22
7,Wanning,0,AT,1563937592,88,48.64,13.53,66.0,2.24
8,Busselton,98,AU,1563937593,54,-33.64,115.35,63.0,16.02
9,Bundaberg,0,AU,1563937595,38,-24.87,152.35,79.0,5.82
10,Hermanus,90,ZA,1563937596,98,-34.42,19.24,51.01,5.01
11,Nouadhibou,20,MR,1563937597,88,20.93,-17.03,68.0,13.87
12,Djambala,1,CG,1563937599,71,-2.55,14.76,71.06,2.86
13,Bozoum,100,CF,1563937600,94,6.31,16.38,64.87,1.36
14,Nikolskoye,40,RU,1563937601,72,59.7,30.79,64.0,2.19
15,Vardo,75,US,1563937602,73,39.62,-77.74,69.8,6.93
16,Tandil,100,AR,1563937604,67,-37.33,-59.14,39.99,1.01
17,Albany,1,US,1563937605,93,42.65,-73.75,68.0,4.7
18,Jega,46,NG,1563937606,72,12.22,4.38,79.29,9.69
19,Chokurdakh,54,RU,1563937607,53,70.62,147.9,49.05,22.19
20,Teguise,90,ES,1563937609,83,29.06,-13.56,71.6,16.11
21,Padang,100,ID,1563937610,83,-0.92,100.36,80.64,20.65
22,Ribeira Grande,100,PT,1563937611,92,38.52,-28.7,73.35,22.64
23,Roald,0,NO,1563937613,100,62.58,6.12,62.01,2.24
24,Ikongo,64,MG,1563937614,98,-21.88,47.44,44.35,1.48
25,Anage,74,BR,1563937615,79,-14.61,-41.14,66.78,11.48
26,Pimentel,1,BR,1563937616,96,-3.7,-45.5,70.9,0.94
27,Abu Samrah,0,SY,1563937621,59,35.3,37.18,69.21,9.57
28,Kalach-na-Donu,0,RU,1563937622,72,48.69,43.52,66.2,4.47
29,Richards Bay,0,ZA,1563937623,39,-28.77,32.06,73.89,12.41
30,Hilo,75,US,1563937624,58,19.71,-155.08,82.4,14.99
31,Tuktoyaktuk,75,CA,1563937626,71,69.44,-133.03,55.4,18.34
32,Ushuaia,20,AR,1563937627,80,-54.81,-68.31,30.2,8.05
33,Vaini,40,IN,1563937628,88,15.34,74.49,73.4,16.11
34,Hambantota,40,LK,1563937629,83,6.12,81.12,80.6,10.29
35,Butaritari,90,KI,1563937631,71,3.07,172.79,85.19,10.71
36,Airai,5,TL,1563937633,38,-8.93,125.41,81.85,3.22
